Fx(MMG maneuvering ship MMG maneuvering),Fx(MMG maneuvering ship NED),Fx(MMG maneuvering ship ship),Fx(blocked states ship ship),Fx(fictitious forces ship NED),Fx(fictitious forces ship ship),Fx(propellerAndRudder(propeller) ship NED),Fx(propellerAndRudder(propeller) ship propellerAndRudder),Fx(propellerAndRudder(propeller) ship ship),Fx(propellerAndRudder(rudder) ship NED),Fx(propellerAndRudder(rudder) ship ship),Fx(propellerAndRudder ship NED),Fx(propellerAndRudder ship propellerAndRudder),Fx(propellerAndRudder ship ship),Fx(sum of forces ship NED),Fx(sum of forces ship ship),Fy(MMG maneuvering ship MMG maneuvering),Fy(MMG maneuvering ship NED),Fy(MMG maneuvering ship ship),Fy(blocked states ship ship),Fy(fictitious forces ship NED),Fy(fictitious forces ship ship),Fy(propellerAndRudder(propeller) ship NED),Fy(propellerAndRudder(propeller) ship propellerAndRudder),Fy(propellerAndRudder(propeller) ship ship),Fy(propellerAndRudder(rudder) ship NED),Fy(propellerAndRudder(rudder) ship ship),Fy(propellerAndRudder ship NED),Fy(propellerAndRudder ship propellerAndRudder),Fy(propellerAndRudder ship ship),Fy(sum of forces ship NED),Fy(sum of forces ship ship),Fz(MMG maneuvering ship MMG maneuvering),Fz(MMG maneuvering ship NED),Fz(MMG maneuvering ship ship),Fz(blocked states ship ship),Fz(fictitious forces ship NED),Fz(fictitious forces ship ship),Fz(propellerAndRudder(propeller) ship NED),Fz(propellerAndRudder(propeller) ship propellerAndRudder),Fz(propellerAndRudder(propeller) ship ship),Fz(propellerAndRudder(rudder) ship NED),Fz(propellerAndRudder(rudder) ship ship),Fz(propellerAndRudder ship NED),Fz(propellerAndRudder ship propellerAndRudder),Fz(propellerAndRudder ship ship),Fz(sum of forces ship NED),Fz(sum of forces ship ship),Mx(MMG maneuvering ship MMG maneuvering),Mx(MMG maneuvering ship NED),Mx(MMG maneuvering ship ship),Mx(blocked states ship ship),Mx(fictitious forces ship NED),Mx(fictitious forces ship ship),Mx(propellerAndRudder(propeller) ship NED),Mx(propellerAndRudder(propeller) ship propellerAndRudder),Mx(propellerAndRudder(propeller) ship ship),Mx(propellerAndRudder(rudder) ship NED),Mx(propellerAndRudder(rudder) ship ship),Mx(propellerAndRudder ship NED),Mx(propellerAndRudder ship propellerAndRudder),Mx(propellerAndRudder ship ship),Mx(sum of forces ship NED),Mx(sum of forces ship ship),My(MMG maneuvering ship MMG maneuvering),My(MMG maneuvering ship NED),My(MMG maneuvering ship ship),My(blocked states ship ship),My(fictitious forces ship NED),My(fictitious forces ship ship),My(propellerAndRudder(propeller) ship NED),My(propellerAndRudder(propeller) ship propellerAndRudder),My(propellerAndRudder(propeller) ship ship),My(propellerAndRudder(rudder) ship NED),My(propellerAndRudder(rudder) ship ship),My(propellerAndRudder ship NED),My(propellerAndRudder ship propellerAndRudder),My(propellerAndRudder ship ship),My(sum of forces ship NED),My(sum of forces ship ship),Mz(MMG maneuvering ship MMG maneuvering),Mz(MMG maneuvering ship NED),Mz(MMG maneuvering ship ship),Mz(blocked states ship ship),Mz(fictitious forces ship NED),Mz(fictitious forces ship ship),Mz(propellerAndRudder(propeller) ship NED),Mz(propellerAndRudder(propeller) ship propellerAndRudder),Mz(propellerAndRudder(propeller) ship ship),Mz(propellerAndRudder(rudder) ship NED),Mz(propellerAndRudder(rudder) ship ship),Mz(propellerAndRudder ship NED),Mz(propellerAndRudder ship propellerAndRudder),Mz(propellerAndRudder ship ship),Mz(sum of forces ship NED),Mz(sum of forces ship ship),p(ship),p_filtered(ship),phi(ship),phi_filtered(ship),propellerAndRudder(P/D),propellerAndRudder(beta),propellerAndRudder(rpm),psi(ship),psi_filtered(ship),q(ship),q_filtered(ship),qi(ship),qj(ship),qk(ship),qr(ship),r(ship),r_filtered(ship),t,theta(ship),theta_filtered(ship),u(ship),u_filtered(ship),v(ship),v_filtered(ship),w(ship),w_filtered(ship),x(ship),x_filtered(ship),y(ship),y_filtered(ship),z(ship),z_filtered(ship)
-7.738995e+00,-7.738995e+00,-7.738995e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.721166e+00,7.721166e+00,7.721166e+00,0.000000e+00,-0.000000e+00,7.721166e+00,7.721166e+00,7.721166e+00,-1.782889e-02,-1.782889e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.879062e-18,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.172988e-01,0.000000e+00,-7.868279e-01,0.000000e+00,0.000000e+00,1.104127e+00,0.000000e+00,7.875589e-01,0.000000e+00,0.000000e+00,1.104127e+00,0.000000e+00,7.875589e-01,7.868279e-01,7.875589e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.424778e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,-0.000000e+00,1.268000e+00,1.268000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-7.738854e+00,-7.738854e+00,-7.738854e+00,0.000000e+00,-5.921831e-06,-6.626242e-06,7.721251e+00,7.721251e+00,7.721251e+00,-1.636322e-02,-1.637175e-02,7.704888e+00,7.704879e+00,7.704879e+00,-3.397222e-02,-3.398116e-02,2.948522e-02,2.940693e-02,2.948522e-02,1.110223e-16,-6.962655e-02,-6.962655e-02,7.811581e-05,0.000000e+00,0.000000e+00,-8.436881e-01,-8.436880e-01,-8.436100e-01,-8.436880e-01,-8.436880e-01,-8.838296e-01,-8.838293e-01,0.000000e+00,3.915438e-07,0.000000e+00,6.888105e-06,8.846410e-06,9.771003e-06,9.979483e-26,0.000000e+00,0.000000e+00,-1.120360e-05,0.000000e+00,-1.120360e-05,0.000000e+00,0.000000e+00,-1.965651e-06,9.771003e-06,-2.083368e-03,-3.289052e-03,-2.083368e-03,0.000000e+00,-1.560983e-10,-2.854688e-03,-1.117056e-05,-0.000000e+00,0.000000e+00,1.063047e-01,7.171348e-02,1.062935e-01,-1.434270e-02,7.171348e-02,1.030045e-01,6.677542e-02,0.000000e+00,-3.172926e-01,0.000000e+00,-7.861627e-01,1.542933e-05,1.619932e-05,1.104139e+00,0.000000e+00,7.875676e-01,-6.899662e-04,0.000000e+00,1.103449e+00,1.669919e-03,7.875676e-01,7.861717e-01,7.875838e-01,-3.218900e-02,-3.068946e-02,-3.218900e-02,0.000000e+00,-5.230043e-11,3.550954e-03,1.466222e-05,0.000000e+00,0.000000e+00,1.491034e+00,1.534063e+00,1.491049e+00,1.116046e-01,1.534063e+00,1.460360e+00,1.505425e+00,3.920527e-04,3.920527e-04,1.327932e-05,1.327932e-05,0.000000e+00,-3.319920e-02,9.424778e+01,1.011699e-05,1.011699e-05,5.029189e-09,5.029189e-09,6.639661e-06,3.358669e-11,5.058495e-06,1.000000e+00,3.017091e-04,3.017091e-04,1.000000e-01,-1.292470e-26,-1.292470e-26,1.267988e+00,1.267988e+00,-1.206723e-04,-1.206723e-04,2.235109e-09,2.235109e-09,1.267995e-01,1.267995e-01,-3.669211e-06,-3.669211e-06,0.000000e+00,0.000000e+00
-7.738637e+00,-7.738646e+00,-7.738637e+00,0.000000e+00,-8.455062e-05,-1.061247e-04,7.721419e+00,7.721419e+00,7.721419e+00,-6.420779e-02,-6.433935e-02,7.657211e+00,7.657080e+00,7.657080e+00,-8.151981e-02,-8.166364e-02,1.169965e-01,1.163817e-01,1.169965e-01,0.000000e+00,-2.715617e-01,-2.715617e-01,6.134248e-04,0.000000e+00,0.000000e+00,-1.655981e+00,-1.655976e+00,-1.655368e+00,-1.655976e+00,-1.655976e+00,-1.810548e+00,-1.810542e+00,0.000000e+00,1.184364e-05,0.000000e+00,9.248821e-05,1.327998e-04,1.602902e-04,0.000000e+00,0.000000e+00,0.000000e+00,-1.676357e-04,0.000000e+00,-1.676357e-04,0.000000e+00,0.000000e+00,-2.299229e-05,1.602902e-04,-9.019006e-03,-1.379066e-02,-9.019006e-03,0.000000e+00,-1.790329e-08,-1.113403e-02,-8.771974e-05,-0.000000e+00,0.000000e+00,2.086533e-01,1.407580e-01,2.085655e-01,-2.815160e-02,1.407580e-01,1.947749e-01,1.206050e-01,0.000000e+00,-3.172733e-01,0.000000e+00,-7.840651e-01,2.253557e-04,2.378816e-04,1.104163e+00,0.000000e+00,7.875847e-01,-2.917597e-03,0.000000e+00,1.101245e+00,6.562614e-03,7.875847e-01,7.841973e-01,7.878226e-01,-1.232861e-01,-1.173514e-01,-1.232861e-01,0.000000e+00,-3.320896e-10,1.384962e-02,1.117752e-04,0.000000e+00,0.000000e+00,2.926577e+00,3.011032e+00,2.926688e+00,2.190556e-01,3.011032e+00,2.809337e+00,2.901595e+00,1.468122e-03,1.468122e-03,1.012307e-04,1.012307e-04,0.000000e+00,-6.639840e-02,9.424778e+01,7.944456e-05,7.944456e-05,1.208596e-07,1.208596e-07,5.061536e-05,2.010558e-09,3.972228e-05,1.000000e+00,1.176772e-03,1.176772e-03,2.000000e-01,-0.000000e+00,-0.000000e+00,1.267958e+00,1.267958e+00,-4.955106e-04,-4.955106e-04,5.697550e-08,5.697550e-08,2.535970e-01,2.535970e-01,-2.752904e-05,-2.752904e-05,0.000000e+00,0.000000e+00
-7.738458e+00,-7.738526e+00,-7.738458e+00,-2.775558e-17,-3.796792e-04,-5.364257e-04,7.721693e+00,7.721694e+00,7.721694e+00,-1.415568e-01,-1.421976e-01,7.580137e+00,7.579496e+00,7.579496e+00,-1.587693e-01,-1.594981e-01,2.610001e-01,2.589639e-01,2.610001e-01,4.440892e-16,-5.957193e-01,-5.957189e-01,2.031743e-03,0.000000e+00,0.000000e+00,-2.435480e+00,-2.435443e+00,-2.433448e+00,-2.435443e+00,-2.435443e+00,-2.770204e+00,-2.770162e+00,0.000000e+00,8.470613e-05,0.000000e+00,3.859354e-04,6.390441e-04,8.323814e-04,1.021958e-22,0.000000e+00,0.000000e+00,-7.904096e-04,0.000000e+00,-7.904096e-04,0.000000e+00,0.000000e+00,-6.665942e-05,8.323814e-04,-2.164446e-02,-3.226200e-02,-2.164446e-02,-5.551115e-17,-2.722844e-07,-2.442448e-02,-2.905392e-04,-0.000000e+00,0.000000e+00,3.068677e-01,2.070127e-01,3.065772e-01,-4.140253e-02,2.070127e-01,2.743149e-01,1.609437e-01,0.000000e+00,-3.172034e-01,0.000000e+00,-7.802823e-01,1.034824e-03,1.099269e-03,1.104202e+00,0.000000e+00,7.876128e-01,-7.146234e-03,0.000000e+00,1.097056e+00,1.450415e-02,7.876128e-01,7.808873e-01,7.887120e-01,-2.654808e-01,-2.522727e-01,-2.654808e-01,8.881784e-16,-8.745879e-10,3.038133e-02,3.583628e-04,0.000000e+00,0.000000e+00,4.304112e+00,4.428322e+00,4.304470e+00,3.221649e-01,4.428322e+00,4.052198e+00,4.193222e+00,3.073022e-03,3.073022e-03,3.245445e-04,3.245445e-04,0.000000e+00,-9.959759e-02,9.424778e+01,2.631214e-04,2.631214e-04,8.400217e-07,8.400217e-07,1.622723e-04,2.134865e-08,1.315607e-04,1.000000e+00,2.581587e-03,2.581587e-03,3.000000e-01,-1.323489e-23,-1.323489e-23,1.267895e+00,1.267895e+00,-1.141698e-03,-1.141698e-03,4.123616e-07,4.123616e-07,3.803900e-01,3.803900e-01,-8.682884e-05,-8.682884e-05,0.000000e+00,0.000000e+00
-7.738598e+00,-7.738878e+00,-7.738598e+00,0.000000e+00,-1.056961e-03,-1.688845e-03,7.722046e+00,7.722048e+00,7.722048e+00,-2.463317e-01,-2.482786e-01,7.475715e+00,7.473769e+00,7.473769e+00,-2.642205e-01,-2.665178e-01,4.598355e-01,4.550991e-01,4.598355e-01,0.000000e+00,-1.032447e+00,-1.032444e+00,4.726096e-03,0.000000e+00,0.000000e+00,-3.181140e+00,-3.180989e+00,-3.176414e+00,-3.180989e+00,-3.180989e+00,-3.753761e+00,-3.753598e+00,0.000000e+00,3.348314e-04,0.000000e+00,9.830358e-04,1.905579e-03,2.657359e-03,6.132027e-22,0.000000e+00,0.000000e+00,-2.316252e-03,0.000000e+00,-2.316252e-03,0.000000e+00,0.000000e+00,-7.584141e-05,2.657359e-03,-4.053683e-02,-5.919609e-02,-4.053683e-02,0.000000e+00,-1.803002e-06,-4.233020e-02,-6.758316e-04,-0.000000e+00,0.000000e+00,4.008133e-01,2.703841e-01,4.001375e-01,-5.407682e-02,2.703841e-01,3.409396e-01,1.875170e-01,0.000000e+00,-3.170071e-01,0.000000e+00,-7.744532e-01,2.945955e-03,3.150723e-03,1.104252e+00,0.000000e+00,7.876489e-01,-1.402759e-02,0.000000e+00,1.090225e+00,2.532442e-02,7.876489e-01,7.761636e-01,7.907996e-01,-4.514812e-01,-4.282606e-01,-4.514812e-01,8.881784e-16,-1.587922e-09,5.265250e-02,8.040669e-04,0.000000e+00,0.000000e+00,5.621696e+00,5.783935e+00,5.622500e+00,4.207872e-01,5.783935e+00,5.194239e+00,5.385106e+00,5.047325e-03,5.047325e-03,7.281548e-04,7.281548e-04,0.000000e+00,-1.327968e-01,9.424778e+01,6.120263e-04,6.120263e-04,3.260587e-06,3.260587e-06,3.640774e-04,1.114125e-07,3.060131e-04,9.999999e-01,4.474564e-03,4.474564e-03,4.000000e-01,-7.940934e-23,-7.940934e-23,1.267783e+00,1.267783e+00,-2.073802e-03,-2.073802e-03,1.661839e-06,1.661839e-06,5.071745e-01,5.071745e-01,-1.916886e-04,-1.916886e-04,0.000000e+00,0.000000e+00
-7.739471e+00,-7.740301e+00,-7.739471e+00,-5.551115e-17,-2.254076e-03,-4.098608e-03,7.722409e+00,7.722415e+00,7.722415e+00,-3.764038e-01,-3.809691e-01,7.346006e+00,7.341446e+00,7.341446e+00,-3.965491e-01,-4.021241e-01,7.117559e-01,7.026765e-01,7.117559e-01,8.881784e-16,-1.572519e+00,-1.572508e+00,9.058242e-03,0.000000e+00,0.000000e+00,-3.892248e+00,-3.891807e+00,-3.883189e+00,-3.891807e+00,-3.891807e+00,-4.753032e+00,-4.752559e+00,0.000000e+00,9.544422e-04,0.000000e+00,1.879066e-03,4.348291e-03,6.456980e-03,0.000000e+00,0.000000e+00,0.000000e+00,-5.218791e-03,0.000000e+00,-5.218791e-03,0.000000e+00,0.000000e+00,8.394281e-05,6.456980e-03,-6.601034e-02,-9.482106e-02,-6.601034e-02,-5.551115e-17,-7.540641e-06,-6.447282e-02,-1.295327e-03,-0.000000e+00,0.000000e+00,4.903965e-01,3.308036e-01,4.891012e-01,-6.616072e-02,3.308036e-01,3.942726e-01,2.003204e-01,0.000000e+00,-3.165736e-01,0.000000e+00,-7.661976e-01,6.428611e-03,6.925958e-03,1.104304e+00,0.000000e+00,7.876863e-01,-2.426758e-02,0.000000e+00,1.080036e+00,3.885885e-02,7.876863e-01,7.698909e-01,7.946123e-01,-6.745245e-01,-6.386499e-01,-6.745245e-01,8.881784e-16,-2.327135e-09,8.018927e-02,1.480839e-03,0.000000e+00,0.000000e+00,6.877893e+00,7.076402e+00,6.879374e+00,5.148155e-01,7.076402e+00,6.240724e+00,6.482067e+00,7.230434e-03,7.230434e-03,1.340969e-03,1.340969e-03,0.000000e+00,-1.659960e-01,9.424778e+01,1.172981e-03,1.172981e-03,9.142706e-06,9.142706e-06,6.704843e-04,3.932326e-07,5.864902e-04,9.999996e-01,6.816141e-03,6.816141e-03,5.000000e-01,1.058791e-22,1.058791e-22,1.267607e+00,1.267607e+00,-3.303890e-03,-3.303890e-03,4.829195e-06,4.829195e-06,6.339448e-01,6.339448e-01,-3.473769e-04,-3.473769e-04,0.000000e+00,0.000000e+00
-7.741588e+00,-7.743592e+00,-7.741588e+00,0.000000e+00,-4.041944e-03,-8.431805e-03,7.722686e+00,7.722701e+00,7.722701e+00,-5.296390e-01,-5.387242e-01,7.193047e+00,7.183977e+00,7.183977e+00,-5.545867e-01,-5.660431e-01,1.014968e+00,9.995664e-01,1.014968e+00,1.776357e-15,-2.207129e+00,-2.207093e+00,1.536007e-02,0.000000e+00,0.000000e+00,-4.568396e+00,-4.567344e+00,-4.553036e+00,-4.567344e+00,-4.567344e+00,-5.760598e+00,-5.759468e+00,0.000000e+00,2.208471e-03,0.000000e+00,2.933333e-03,8.339678e-03,1.314213e-02,-3.270691e-21,0.000000e+00,0.000000e+00,-9.938090e-03,0.000000e+00,-9.938090e-03,0.000000e+00,0.000000e+00,6.100590e-04,1.314213e-02,-9.811919e-02,-1.391051e-01,-9.811919e-02,-5.551115e-17,-2.349377e-05,-9.049081e-02,-2.196485e-03,-0.000000e+00,0.000000e+00,5.755631e-01,3.882242e-01,5.733666e-01,-7.764485e-02,3.882242e-01,4.342380e-01,1.996143e-01,0.000000e+00,-3.157742e-01,0.000000e+00,-7.551884e-01,1.181212e-02,1.282807e-02,1.104341e+00,0.000000e+00,7.877155e-01,-3.850636e-02,0.000000e+00,1.065835e+00,5.494987e-02,7.877155e-01,7.618730e-01,8.005436e-01,-9.283945e-01,-8.773196e-01,-9.283945e-01,8.881784e-16,-2.947873e-09,1.125360e-01,2.402948e-03,0.000000e+00,0.000000e+00,8.071717e+00,8.304719e+00,8.074120e+00,6.041768e-01,8.304719e+00,7.196800e+00,7.488860e+00,9.463621e-03,9.463621e-03,2.175903e-03,2.175903e-03,0.000000e+00,-1.991952e-01,9.424778e+01,1.988952e-03,1.988952e-03,2.082314e-05,2.082314e-05,1.087951e-03,1.081941e-06,9.944751e-04,9.999989e-01,9.568774e-03,9.568774e-03,6.000000e-01,-4.235165e-22,-4.235165e-22,1.267351e+00,1.267351e+00,-4.841620e-03,-4.841620e-03,1.138059e-05,1.138059e-05,7.606939e-01,7.606939e-01,-5.545783e-04,-5.545783e-04,0.000000e+00,0.000000e+00
-7.745531e+00,-7.749733e+00,-7.745531e+00,0.000000e+00,-6.395446e-03,-1.546961e-02,7.722760e+00,7.722797e+00,7.722797e+00,-7.039365e-01,-7.200785e-01,7.018823e+00,7.002719e+00,7.002719e+00,-7.373049e-01,-7.582825e-01,1.367674e+00,1.343655e+00,1.367674e+00,0.000000e+00,-2.927871e+00,-2.927776e+00,2.393485e-02,0.000000e+00,0.000000e+00,-5.209446e+00,-5.207266e+00,-5.185511e+00,-5.207266e+00,-5.207266e+00,-6.769727e+00,-6.767369e+00,0.000000e+00,4.417876e-03,0.000000e+00,3.863087e-03,1.412507e-02,2.358253e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.682057e-02,0.000000e+00,-1.682057e-02,0.000000e+00,0.000000e+00,1.722372e-03,2.358253e-02,-1.366656e-01,-1.917664e-01,-1.366656e-01,-1.110223e-16,-5.950656e-05,-1.200388e-01,-3.422666e-03,-0.000000e+00,0.000000e+00,6.562960e-01,4.426176e-01,6.528733e-01,-8.852352e-02,4.426176e-01,4.610474e-01,1.859132e-01,0.000000e+00,-3.144860e-01,0.000000e+00,-7.412068e-01,1.920024e-02,2.103720e-02,1.104349e+00,0.000000e+00,7.877253e-01,-5.721601e-02,0.000000e+00,1.047133e+00,7.344801e-02,7.877253e-01,7.518472e-01,8.087625e-01,-1.207443e+00,-1.138712e+00,-1.207443e+00,1.776357e-15,-3.340177e-09,1.492546e-01,3.567317e-03,0.000000e+00,0.000000e+00,9.202563e+00,9.468277e+00,9.206131e+00,6.888269e-01,9.468277e+00,8.067419e+00,8.410089e+00,1.159298e-02,1.159298e-02,3.230218e-03,3.230218e-03,0.000000e+00,-2.323944e-01,9.424778e+01,3.099251e-03,3.099251e-03,4.101606e-05,4.101606e-05,1.615106e-03,2.502812e-06,1.549623e-03,9.999975e-01,1.269689e-02,1.269689e-02,7.000000e-01,-8.470329e-22,-8.470329e-22,1.267000e+00,1.267000e+00,-6.694310e-03,-6.694310e-03,2.316112e-05,2.316112e-05,8.874133e-01,8.874133e-01,-8.096484e-04,-8.096484e-04,0.000000e+00,0.000000e+00
-7.751930e+00,-7.759876e+00,-7.751930e+00,0.000000e+00,-9.172232e-03,-2.609040e-02,7.722507e+00,7.722586e+00,7.722586e+00,-8.972621e-01,-9.236536e-01,6.825245e+00,6.798933e+00,6.798933e+00,-9.438039e-01,-9.790873e-01,1.768099e+00,1.732871e+00,1.768099e+00,8.881784e-16,-3.726721e+00,-3.726506e+00,3.505835e-02,0.000000e+00,0.000000e+00,-5.815495e+00,-5.811420e+00,-5.780437e+00,-5.811420e+00,-5.811420e+00,-7.774287e+00,-7.769828e+00,0.000000e+00,7.931914e-03,0.000000e+00,4.263218e-03,2.174207e-02,3.846004e-02,0.000000e+00,0.000000e+00,0.000000e+00,-2.607076e-02,0.000000e+00,-2.607076e-02,0.000000e+00,0.000000e+00,3.603224e-03,3.846004e-02,-1.812124e-01,-2.522878e-01,-1.812124e-01,-5.551115e-17,-1.289766e-04,-1.527868e-01,-5.013294e-03,-0.000000e+00,0.000000e+00,7.326125e-01,4.939707e-01,7.275992e-01,-9.879414e-02,4.939707e-01,4.751824e-01,1.599716e-01,0.000000e+00,-3.126201e-01,0.000000e+00,-7.241811e-01,2.841042e-02,3.144159e-02,1.104307e+00,0.000000e+00,7.877038e-01,-8.061878e-02,0.000000e+00,1.023689e+00,9.421266e-02,7.877038e-01,7.394788e-01,8.191454e-01,-1.506609e+00,-1.417848e+00,-1.506609e+00,1.776357e-15,-3.444851e-09,1.899244e-01,4.954163e-03,0.000000e+00,0.000000e+00,1.027014e+01,1.056680e+01,1.027510e+01,7.687455e-01,1.056680e+01,8.857250e+00,9.250115e+00,1.347223e-02,1.347223e-02,4.486141e-03,4.486141e-03,0.000000e+00,-2.655936e-01,9.424778e+01,4.539732e-03,4.539732e-03,7.252898e-05,7.252898e-05,2.243063e-03,5.091462e-06,2.269859e-03,9.999949e-01,1.616680e-02,1.616680e-02,8.000000e-01,-0.000000e+00,-0.000000e+00,1.266539e+00,1.266539e+00,-8.866986e-03,-8.866986e-03,4.225865e-05,4.225865e-05,1.014093e+00,1.014093e+00,-1.104857e-03,-1.104857e-03,0.000000e+00,0.000000e+00
-7.761437e+00,-7.775327e+00,-7.761437e+00,0.000000e+00,-1.209833e-02,-4.125021e-02,7.721798e+00,7.721953e+00,7.721953e+00,-1.107674e+00,-1.148163e+00,6.614124e+00,6.573790e+00,6.573790e+00,-1.173302e+00,-1.228897e+00,2.214526e+00,2.165212e+00,2.214526e+00,0.000000e+00,-4.596004e+00,-4.595571e+00,4.897980e-02,0.000000e+00,0.000000e+00,-6.386842e+00,-6.379799e+00,-6.337863e+00,-6.379799e+00,-6.379799e+00,-8.768654e+00,-8.760845e+00,0.000000e+00,1.309168e-02,0.000000e+00,3.647317e-03,3.094868e-02,5.811748e-02,-2.616299e-20,0.000000e+00,0.000000e+00,-3.771566e-02,0.000000e+00,-3.771566e-02,0.000000e+00,0.000000e+00,6.324698e-03,5.811748e-02,-2.311001e-01,-3.199349e-01,-2.311001e-01,-5.551115e-17,-2.469831e-04,-1.884184e-01,-7.003989e-03,-0.000000e+00,0.000000e+00,8.045599e-01,5.422830e-01,7.975559e-01,-1.084566e-01,5.422830e-01,4.773741e-01,1.227644e-01,0.000000e+00,-3.101487e-01,0.000000e+00,-7.042109e-01,3.893756e-02,4.359291e-02,1.104198e+00,0.000000e+00,7.876392e-01,-1.086270e-01,0.000000e+00,9.955708e-01,1.171126e-01,7.876392e-01,7.243596e-01,8.312321e-01,-1.821436e+00,-1.710346e+00,-1.821436e+00,0.000000e+00,-3.256096e-09,2.341439e-01,6.527967e-03,0.000000e+00,0.000000e+00,1.127443e+01,1.160027e+01,1.128096e+01,8.439318e-01,1.160027e+01,9.570610e+00,1.001298e+01,1.496535e-02,1.496535e-02,5.911766e-03,5.911766e-03,0.000000e+00,-2.987928e-01,9.424778e+01,6.342972e-03,6.342972e-03,1.179227e-04,1.179227e-04,2.955864e-03,9.374512e-06,3.171467e-03,9.999906e-01,1.994660e-02,1.994660e-02,9.000000e-01,-0.000000e+00,-0.000000e+00,1.265953e+00,1.265953e+00,-1.136240e-02,-1.136240e-02,7.080216e-05,7.080216e-05,1.140723e+00,1.140723e+00,-1.428618e-03,-1.428618e-03,0.000000e+00,0.000000e+00
