Fx(MMG maneuvering ship MMG maneuvering),Fx(MMG maneuvering ship NED),Fx(MMG maneuvering ship ship),Fx(blocked states ship ship),Fx(fictitious forces ship NED),Fx(fictitious forces ship ship),Fx(propellerAndRudder(propeller) ship NED),Fx(propellerAndRudder(propeller) ship propellerAndRudder),Fx(propellerAndRudder(propeller) ship ship),Fx(propellerAndRudder(rudder) ship NED),Fx(propellerAndRudder(rudder) ship ship),Fx(propellerAndRudder ship NED),Fx(propellerAndRudder ship propellerAndRudder),Fx(propellerAndRudder ship ship),Fx(sum of forces ship NED),Fx(sum of forces ship ship),Fy(MMG maneuvering ship MMG maneuvering),Fy(MMG maneuvering ship NED),Fy(MMG maneuvering ship ship),Fy(blocked states ship ship),Fy(fictitious forces ship NED),Fy(fictitious forces ship ship),Fy(propellerAndRudder(propeller) ship NED),Fy(propellerAndRudder(propeller) ship propellerAndRudder),Fy(propellerAndRudder(propeller) ship ship),Fy(propellerAndRudder(rudder) ship NED),Fy(propellerAndRudder(rudder) ship ship),Fy(propellerAndRudder ship NED),Fy(propellerAndRudder ship propellerAndRudder),Fy(propellerAndRudder ship ship),Fy(sum of forces ship NED),Fy(sum of forces ship ship),Fz(MMG maneuvering ship MMG maneuvering),Fz(MMG maneuvering ship NED),Fz(MMG maneuvering ship ship),Fz(blocked states ship ship),Fz(fictitious forces ship NED),Fz(fictitious forces ship ship),Fz(propellerAndRudder(propeller) ship NED),Fz(propellerAndRudder(propeller) ship propellerAndRudder),Fz(propellerAndRudder(propeller) ship ship),Fz(propellerAndRudder(rudder) ship NED),Fz(propellerAndRudder(rudder) ship ship),Fz(propellerAndRudder ship NED),Fz(propellerAndRudder ship propellerAndRudder),Fz(propellerAndRudder ship ship),Fz(sum of forces ship NED),Fz(sum of forces ship ship),Mx(MMG maneuvering ship MMG maneuvering),Mx(MMG maneuvering ship NED),Mx(MMG maneuvering ship ship),Mx(blocked states ship ship),Mx(fictitious forces ship NED),Mx(fictitious forces ship ship),Mx(propellerAndRudder(propeller) ship NED),Mx(propellerAndRudder(propeller) ship propellerAndRudder),Mx(propellerAndRudder(propeller) ship ship),Mx(propellerAndRudder(rudder) ship NED),Mx(propellerAndRudder(rudder) ship ship),Mx(propellerAndRudder ship NED),Mx(propellerAndRudder ship propellerAndRudder),Mx(propellerAndRudder ship ship),Mx(sum of forces ship NED),Mx(sum of forces ship ship),My(MMG maneuvering ship MMG maneuvering),My(MMG maneuvering ship NED),My(MMG maneuvering ship ship),My(blocked states ship ship),My(fictitious forces ship NED),My(fictitious forces ship ship),My(propellerAndRudder(propeller) ship NED),My(propellerAndRudder(propeller) ship propellerAndRudder),My(propellerAndRudder(propeller) ship ship),My(propellerAndRudder(rudder) ship NED),My(propellerAndRudder(rudder) ship ship),My(propellerAndRudder ship NED),My(propellerAndRudder ship propellerAndRudder),My(propellerAndRudder ship ship),My(sum of forces ship NED),My(sum of forces ship ship),Mz(MMG maneuvering ship MMG maneuvering),Mz(MMG maneuvering ship NED),Mz(MMG maneuvering ship ship),Mz(blocked states ship ship),Mz(fictitious forces ship NED),Mz(fictitious forces ship ship),Mz(propellerAndRudder(propeller) ship NED),Mz(propellerAndRudder(propeller) ship propellerAndRudder),Mz(propellerAndRudder(propeller) ship ship),Mz(propellerAndRudder(rudder) ship NED),Mz(propellerAndRudder(rudder) ship ship),Mz(propellerAndRudder ship NED),Mz(propellerAndRudder ship propellerAndRudder),Mz(propellerAndRudder ship ship),Mz(sum of forces ship NED),Mz(sum of forces ship ship),p(ship),p_filtered(ship),phi(ship),phi_filtered(ship),propellerAndRudder(P/D),propellerAndRudder(beta),propellerAndRudder(rpm),psi(ship),psi_filtered(ship),q(ship),q_filtered(ship),qi(ship),qj(ship),qk(ship),qr(ship),r(ship),r_filtered(ship),t,theta(ship),theta_filtered(ship),u(ship),u_filtered(ship),v(ship),v_filtered(ship),w(ship),w_filtered(ship),x(ship),x_filtered(ship),y(ship),y_filtered(ship),z(ship),z_filtered(ship)
-3.810999e+01,-3.810999e+01,-3.810999e+01,0.000000e+00,0.000000e+00,0.000000e+00,3.810967e+01,3.810967e+01,3.810967e+01,0.000000e+00,-0.000000e+00,3.810967e+01,3.810967e+01,3.810967e+01,-3.170233e-04,-3.170233e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.726715e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,-0.000000e+00,1.180000e+00,1.180000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.810997e+01,-3.810997e+01,-3.810997e+01,0.000000e+00,-2.523774e-06,-2.676149e-06,3.810914e+01,3.810914e+01,3.810914e+01,-3.430293e-02,-3.430652e-02,3.807484e+01,3.807484e+01,3.807484e+01,-3.513156e-02,-3.513525e-02,-4.727859e-02,-4.723481e-02,-4.727859e-02,0.000000e+00,1.326590e-01,1.326590e-01,-4.377298e-05,0.000000e+00,0.000000e+00,3.124626e+00,3.124626e+00,3.124582e+00,3.124626e+00,3.124626e+00,3.210006e+00,3.210006e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.779347e-02,1.096131e-01,9.779347e-02,-1.776357e-15,0.000000e+00,3.316476e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.153010e+01,-1.074894e+01,-1.153010e+01,-3.158158e-01,-1.074894e+01,-1.142048e+01,-1.061798e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.349482e-02,6.726715e+01,-1.148622e-06,-1.148622e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.743108e-07,1.000000e+00,-3.438010e-05,-3.438010e-05,1.000000e-01,0.000000e+00,0.000000e+00,1.180000e+00,1.180000e+00,2.380430e-05,2.380430e-05,0.000000e+00,0.000000e+00,1.180000e-01,1.180000e-01,7.556019e-07,7.556019e-07,0.000000e+00,0.000000e+00
-3.810985e+01,-3.810985e+01,-3.810985e+01,0.000000e+00,-3.842422e-05,-4.322049e-05,3.810759e+01,3.810759e+01,3.810759e+01,-1.367049e-01,-1.367617e-01,3.797088e+01,3.797083e+01,3.797083e+01,-1.390030e-01,-1.390629e-01,-1.889509e-01,-1.886032e-01,-1.889509e-01,0.000000e+00,5.256328e-01,5.256328e-01,-3.477226e-04,0.000000e+00,0.000000e+00,6.224666e+00,6.224665e+00,6.224319e+00,6.224665e+00,6.224665e+00,6.561348e+00,6.561347e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.825549e-01,4.297926e-01,3.825549e-01,0.000000e+00,0.000000e+00,1.314082e-01,0.000000e+00,0.000000e+00,0.000000e+00,-2.296947e+01,-2.141330e+01,-2.296947e+01,-6.291466e-01,-2.141330e+01,-2.253968e+01,-2.089934e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.698963e-02,6.726715e+01,-9.124760e-06,-9.124760e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.562380e-06,1.000000e+00,-1.362240e-04,-1.362240e-04,2.000000e-01,0.000000e+00,0.000000e+00,1.179997e+00,1.179997e+00,9.702604e-05,9.702604e-05,0.000000e+00,0.000000e+00,2.359999e-01,2.359999e-01,5.868355e-06,5.868355e-06,0.000000e+00,0.000000e+00
-3.810957e+01,-3.810958e+01,-3.810957e+01,0.000000e+00,-1.847531e-04,-2.205659e-04,3.810507e+01,3.810507e+01,3.810507e+01,-3.062963e-01,-3.065805e-01,3.779877e+01,3.779849e+01,3.779849e+01,-3.109973e-01,-3.113044e-01,-4.246331e-01,-4.234679e-01,-4.246331e-01,1.776357e-15,1.171266e+00,1.171266e+00,-1.165104e-03,0.000000e+00,0.000000e+00,9.294048e+00,9.294039e+00,9.292883e+00,9.294039e+00,9.294039e+00,1.004068e+01,1.004067e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.415076e-01,9.476659e-01,8.415076e-01,-7.105427e-15,0.000000e+00,2.928165e-01,0.000000e+00,0.000000e+00,0.000000e+00,-3.429568e+01,-3.197217e+01,-3.429568e+01,-9.393780e-01,-3.197217e+01,-3.334802e+01,-3.083785e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.048445e-02,6.726715e+01,-3.057609e-05,-3.057609e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.528804e-05,1.000000e+00,-3.035492e-04,-3.035492e-04,3.000000e-01,0.000000e+00,0.000000e+00,1.179991e+00,1.179991e+00,2.222089e-04,2.222089e-04,0.000000e+00,0.000000e+00,3.539993e-01,3.539993e-01,1.920926e-05,1.920926e-05,0.000000e+00,0.000000e+00
-3.810914e+01,-3.810919e+01,-3.810914e+01,0.000000e+00,-5.534785e-04,-7.018173e-04,3.810163e+01,3.810163e+01,3.810163e+01,-5.419764e-01,-5.428633e-01,3.755966e+01,3.755877e+01,3.755877e+01,-5.500858e-01,-5.510668e-01,-7.537589e-01,-7.510169e-01,-7.537589e-01,0.000000e+00,2.061706e+00,2.061706e+00,-2.741395e-03,0.000000e+00,0.000000e+00,1.232685e+01,1.232681e+01,1.232410e+01,1.232681e+01,1.232681e+01,1.363479e+01,1.363475e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.462082e+00,1.650522e+00,1.462082e+00,-7.105427e-15,-2.220446e-16,5.154265e-01,0.000000e+00,0.000000e+00,0.000000e+00,-4.548682e+01,-4.240512e+01,-4.548682e+01,-1.245909e+00,-4.240512e+01,-4.383630e+01,-4.042761e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.397927e-02,6.726715e+01,-7.194955e-05,-7.194955e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.597477e-05,1.000000e+00,-5.343241e-04,-5.343241e-04,4.000000e-01,0.000000e+00,0.000000e+00,1.179979e+00,1.179979e+00,4.016720e-04,4.016720e-04,0.000000e+00,0.000000e+00,4.719979e-01,4.719979e-01,4.411988e-05,4.411988e-05,0.000000e+00,0.000000e+00
-3.810859e+01,-3.810875e+01,-3.810859e+01,0.000000e+00,-1.278103e-03,-1.722913e-03,3.809735e+01,3.809735e+01,3.809735e+01,-8.424642e-01,-8.446008e-01,3.725488e+01,3.725275e+01,3.725275e+01,-8.551494e-01,-8.575668e-01,-1.175583e+00,-1.170268e+00,-1.175583e+00,0.000000e+00,3.188907e+00,3.188906e+00,-5.314068e-03,0.000000e+00,0.000000e+00,1.531729e+01,1.531717e+01,1.531197e+01,1.531717e+01,1.531717e+01,1.733061e+01,1.733049e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.231923e+00,2.525819e+00,2.231923e+00,-7.105427e-15,0.000000e+00,7.972266e-01,0.000000e+00,0.000000e+00,0.000000e+00,-5.652148e+01,-5.269219e+01,-5.652148e+01,-1.548155e+00,-5.269219e+01,-5.399566e+01,-4.966304e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.174741e-01,6.726715e+01,-1.394866e-04,-1.394866e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.974328e-05,1.000000e+00,-8.264699e-04,-8.264699e-04,5.000000e-01,0.000000e+00,0.000000e+00,1.179959e+00,1.179959e+00,6.375122e-04,6.375122e-04,0.000000e+00,0.000000e+00,5.899949e-01,5.899949e-01,8.341400e-05,8.341400e-05,0.000000e+00,0.000000e+00
-3.810804e+01,-3.810844e+01,-3.810804e+01,2.220446e-16,-2.501025e-03,-3.588185e-03,3.809227e+01,3.809227e+01,3.809227e+01,-1.206310e+00,-1.210678e+00,3.688596e+01,3.688159e+01,3.688159e+01,-1.224984e+00,-1.230035e+00,-1.689188e+00,-1.680072e+00,-1.689188e+00,0.000000e+00,4.544633e+00,4.544633e+00,-9.112373e-03,0.000000e+00,0.000000e+00,1.825977e+01,1.825948e+01,1.825066e+01,1.825948e+01,1.825948e+01,2.111522e+01,2.111493e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.138902e+00,3.561199e+00,3.138902e+00,-7.105427e-15,0.000000e+00,1.136158e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.737882e+01,-6.281395e+01,-6.737882e+01,-1.845544e+00,-6.281395e+01,-6.381762e+01,-5.853889e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.409689e-01,6.726715e+01,-2.392184e-04,-2.392184e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.196092e-04,1.000000e+00,-1.177863e-03,-1.177863e-03,6.000000e-01,0.000000e+00,0.000000e+00,1.179930e+00,1.179930e+00,9.316056e-04,9.316056e-04,0.000000e+00,0.000000e+00,7.079894e-01,7.079894e-01,1.393802e-04,1.393802e-04,0.000000e+00,0.000000e+00
-3.810764e+01,-3.810850e+01,-3.810764e+01,0.000000e+00,-4.361696e-03,-6.668879e-03,3.808646e+01,3.808646e+01,3.808646e+01,-1.631906e+00,-1.639878e+00,3.645455e+01,3.644659e+01,3.644659e+01,-1.658304e+00,-1.667719e+00,-2.293487e+00,-2.279122e+00,-2.293487e+00,0.000000e+00,6.120469e+00,6.120467e+00,-1.435715e-02,0.000000e+00,0.000000e+00,2.114886e+01,2.114825e+01,2.113451e+01,2.114825e+01,2.114825e+01,2.497585e+01,2.497523e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.171127e+00,4.744498e+00,4.171127e+00,0.000000e+00,0.000000e+00,1.530117e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.803858e+01,-7.275151e+01,-7.803858e+01,-2.137520e+00,-7.275151e+01,-7.329408e+01,-6.705027e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.644637e-01,6.726715e+01,-3.769619e-04,-3.769619e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.884810e-04,1.000000e+00,-1.586338e-03,-1.586338e-03,7.000000e-01,0.000000e+00,0.000000e+00,1.179889e+00,1.179889e+00,1.285610e-03,1.285610e-03,0.000000e+00,0.000000e+00,8.259805e-01,8.259805e-01,2.137852e-04,2.137852e-04,0.000000e+00,0.000000e+00
-3.810759e+01,-3.810925e+01,-3.810759e+01,0.000000e+00,-6.985646e-03,-1.140070e-02,3.807999e+01,3.807999e+01,3.807999e+01,-2.117502e+00,-2.130889e+00,3.596249e+01,3.594911e+01,3.594911e+01,-2.153748e+00,-2.169883e+00,-2.987233e+00,-2.965957e+00,-2.987233e+00,0.000000e+00,7.907821e+00,7.907816e+00,-2.126064e-02,0.000000e+00,0.000000e+00,2.397932e+01,2.397813e+01,2.395806e+01,2.397813e+01,2.397813e+01,2.889992e+01,2.889871e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.316958e+00,6.063767e+00,5.316958e+00,-1.421085e-14,0.000000e+00,1.976954e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.848106e+01,-8.248653e+01,-8.848106e+01,-2.423546e+00,-8.248653e+01,-8.241729e+01,-7.519262e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.879585e-01,6.726715e+01,-5.583152e-04,-5.583152e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.791576e-04,1.000000e+00,-2.049688e-03,-2.049688e-03,8.000000e-01,0.000000e+00,0.000000e+00,1.179834e+00,1.179834e+00,1.700968e-03,1.700968e-03,0.000000e+00,0.000000e+00,9.439668e-01,9.439668e-01,3.078781e-04,3.078781e-04,0.000000e+00,0.000000e+00
-3.810815e+01,-3.811111e+01,-3.810815e+01,0.000000e+00,-1.047441e-02,-1.828044e-02,3.807292e+01,3.807293e+01,3.807293e+01,-2.661213e+00,-2.682305e+00,3.541171e+01,3.539063e+01,3.539063e+01,-2.709882e+00,-2.735808e+00,-3.769026e+00,-3.738971e+00,-3.769026e+00,7.105427e-15,9.897925e+00,9.897914e+00,-3.002636e-02,0.000000e+00,0.000000e+00,2.674607e+01,2.674397e+01,2.671605e+01,2.674397e+01,2.674397e+01,3.287500e+01,3.287285e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.565023e+00,7.507280e+00,6.565023e+00,-1.421085e-14,0.000000e+00,2.474478e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.868719e+01,-9.200120e+01,-9.868719e+01,-2.703097e+00,-9.200120e+01,-9.117991e+01,-8.296170e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.114534e-01,6.726715e+01,-7.886539e-04,-7.886539e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.943269e-04,9.999999e-01,-2.565668e-03,-2.565668e-03,9.000000e-01,0.000000e+00,0.000000e+00,1.179765e+00,1.179765e+00,2.178906e-03,2.178906e-03,0.000000e+00,0.000000e+00,1.061947e+00,1.061947e+00,4.223954e-04,4.223954e-04,0.000000e+00,0.000000e+00
